id,title,filtered_words,features,label_index
R129,New Report on Election,"['activity', 'nation', 'series', 'necessary.', 'official', 'family', 'dog', 'include', 'then.', 'experts', 'discuss', 'ongoing', 'developments', 'election.']","(10000,[1107,2953,3556,3614,4014,4463,4506,4687,5379,8110,8297,8485,9462,9564],[5.117993812416755,4.270695952029551,2.8844015909096608,0.6871770135734415,4.019381523748645,4.42484663185681,0.691153161953081,0.691153161953081,4.830311739964974,4.42484663185681,4.137164559405029,4.607168188650764,0.691153161953081,4.830311739964974])",1.0
R227,New Report on Climate Change,"['trade', 'week', 'instead', 'live', 'decision', 'as.', 'fire', 'decide', 'admit', 'environmental', 'generation', 'remember.', 'measure', 'hold', 'perform', 'per.', 'experts', 'discuss', 'ongoing', 'developments', 'climate', 'change.']","(10000,[419,493,528,821,1098,1236,2059,2193,2389,3614,4506,4527,4687,5122,5191,5849,6027,6035,6963,8293,8714,9462],[4.137164559405029,4.270695952029551,3.8187108282864943,2.849310271098391,4.019381523748645,4.607168188650764,2.661258039595451,3.914021008090819,4.830311739964974,0.6871770135734415,0.691153161953081,4.830311739964974,0.691153161953081,4.42484663185681,4.270695952029551,5.117993812416755,4.019381523748645,3.2721671219184243,4.607168188650764,4.270695952029551,4.42484663185681,0.691153161953081])",1.0
F231,Aliens Confirmed by Sources,"['former', 'call', 'role', 'music.', 'player', 'idea', 'actually', 'republican', 'movie.', 'establish', 'doctor', 'writer', 'coach', 'true', 'begin.', '—', 'shocking', 'claims', 'aliens', 'surface', 'internet.']","(10000,[503,650,777,1675,2923,3350,3514,4160,4616,4715,5146,5850,5958,6447,6604,6906,7188,7274,7281,7936,8338],[0.691153161953081,2.958509563063383,3.7316994512968646,5.117993812416755,3.6516567436233283,3.914021008090819,4.270695952029551,3.7316994512968646,4.137164559405029,4.607168188650764,4.137164559405029,0.691153161953081,3.914021008090819,4.270695952029551,3.914021008090819,4.270695952029551,4.830311739964974,5.523458920524919,0.6753425559264385,0.691153161953081,0.691153161953081])",0.0
R066,New Report on Policy,"['wonder', 'participant', 'become', 'executive.', 'end', 'power', 'western', 'democratic', 'end', 'charge', 'country.', 'experts', 'discuss', 'ongoing', 'developments', 'policy.']","(10000,[453,524,751,3056,3614,4506,4687,4723,5396,5606,6812,6944,7090,9062,9462],[8.84969326371362,3.5085558999826545,4.830311739964974,4.607168188650764,0.6871770135734415,0.691153161953081,0.691153161953081,4.137164559405029,4.270695952029551,4.137164559405029,4.42484663185681,2.7826188965997183,4.270695952029551,4.830311739964974,0.691153161953081])",1.0
F095,Mind Control Confirmed by Sources,"['lose', 'enjoy', 'quality', 'success.', 'safe', 'bar', 'share', 'civil', 'mission', 'under.', 'eat', 'country.', '—', 'shocking', 'claims', 'mind', 'control', 'surface', 'internet.']","(10000,[503,593,1208,1805,3184,3506,3947,4422,5850,6069,7276,7281,7332,7642,7936,8280,8338,9062,9782],[0.691153161953081,4.42484663185681,2.7200985396183848,4.42484663185681,2.849310271098391,4.42484663185681,4.137164559405029,4.019381523748645,0.691153161953081,4.137164559405029,4.607168188650764,0.6753425559264385,4.42484663185681,3.6516567436233283,0.691153161953081,5.523458920524919,0.691153161953081,4.830311739964974,4.830311739964974])",0.0
R174,New Report on Policy,"['type', 'book', 'participant', 'show.', 'letter', 'remember', 'rate', 'end', 'raise', 'himself.', 'bag', 'kitchen', 'radio', 'laugh', 'news.', 'experts', 'discuss', 'ongoing', 'developments', 'policy.']","(10000,[253,393,415,453,564,756,1195,3205,3526,3527,3614,3792,4506,4687,5396,5685,6944,7098,9086,9462],[4.019381523748645,4.270695952029551,3.914021008090819,4.42484663185681,4.137164559405029,4.607168188650764,4.019381523748645,5.117993812416755,3.914021008090819,4.270695952029551,0.6871770135734415,4.137164559405029,0.691153161953081,0.691153161953081,4.270695952029551,4.42484663185681,2.7826188965997183,3.7316994512968646,4.270695952029551,0.691153161953081])",1.0
R201,New Report on Public Health,"['choice', 'decision', 'outside', 'front.', 'number', 'adult', 'letter', 'indeed', 'agency', 'campaign', 'put.', 'design', 'arm', 'collection', 'floor.', 'experts', 'discuss', 'ongoing', 'developments', 'public', 'health.']","(10000,[72,564,765,1770,2193,2920,3614,3922,3984,4253,4506,4687,4934,5476,6053,6219,6675,8209,8519,8568,9462],[4.42484663185681,4.137164559405029,4.42484663185681,2.920769235080536,3.914021008090819,5.117993812416755,0.6871770135734415,3.8187108282864943,3.914021008090819,4.830311739964974,0.691153161953081,0.691153161953081,4.270695952029551,5.117993812416755,3.577548771469606,3.172083663361442,4.270695952029551,4.137164559405029,4.42484663185681,4.830311739964974,0.691153161953081])",1.0
R072,New Report on Education,"['heart', 'test', 'decide', 'reach', 'what.', 'experts', 'discuss', 'ongoing', 'developments', 'education.']","(10000,[3614,4506,4687,5047,6586,8293,8363,8386,9462,9808],[0.6871770135734415,0.691153161953081,0.691153161953081,2.60568818844064,4.270695952029551,4.270695952029551,5.117993812416755,4.42484663185681,0.691153161953081,4.019381523748645])",1.0
R064,New Report on Research,"['memory', 'trouble', 'pass', 'fish', 'college', 'range', 'approach.', 'since', 'dog', 'address', 'tv.', 'join', 'knowledge.', 'experts', 'discuss', 'ongoing', 'developments', 'research.']","(10000,[165,1376,2909,3614,4454,4506,4687,6287,6434,6805,6941,7066,8057,8356,8392,8952,9462,9564],[4.270695952029551,4.019381523748645,4.137164559405029,0.6871770135734415,4.607168188650764,0.691153161953081,0.691153161953081,3.914021008090819,4.830311739964974,5.523458920524919,4.019381523748645,2.8844015909096608,4.42484663185681,4.830311739964974,4.019381523748645,4.137164559405029,0.691153161953081,4.830311739964974])",1.0
F037,Miracle Drug Confirmed by Sources,"['choose', 'old', 'pattern', 'shake.', 'defense', 'color', 'serious', 'interest', 'above.', 'wonder', 'remain', 'specific.', '—', 'shocking', 'claims', 'miracle', 'drug', 'surface', 'internet.']","(10000,[70,264,503,617,1117,1256,2406,3543,4723,5205,5850,6176,7083,7281,7860,7936,8338,9706,9832],[3.914021008090819,5.117993812416755,0.691153161953081,4.019381523748645,3.8187108282864943,3.125563647726549,4.607168188650764,4.42484663185681,4.137164559405029,5.117993812416755,0.691153161953081,4.830311739964974,3.8187108282864943,0.6753425559264385,2.997730276216664,0.691153161953081,0.691153161953081,4.270695952029551,4.137164559405029])",0.0
