id,title,filtered_words,label
R129,New Report on Election,"['activity', 'nation', 'series', 'necessary.', 'official', 'family', 'dog', 'include', 'then.', 'experts', 'discuss', 'ongoing', 'developments', 'election.']",REAL
R227,New Report on Climate Change,"['trade', 'week', 'instead', 'live', 'decision', 'as.', 'fire', 'decide', 'admit', 'environmental', 'generation', 'remember.', 'measure', 'hold', 'perform', 'per.', 'experts', 'discuss', 'ongoing', 'developments', 'climate', 'change.']",REAL
F231,Aliens Confirmed by Sources,"['former', 'call', 'role', 'music.', 'player', 'idea', 'actually', 'republican', 'movie.', 'establish', 'doctor', 'writer', 'coach', 'true', 'begin.', '—', 'shocking', 'claims', 'aliens', 'surface', 'internet.']",FAKE
R066,New Report on Policy,"['wonder', 'participant', 'become', 'executive.', 'end', 'power', 'western', 'democratic', 'end', 'charge', 'country.', 'experts', 'discuss', 'ongoing', 'developments', 'policy.']",REAL
F095,Mind Control Confirmed by Sources,"['lose', 'enjoy', 'quality', 'success.', 'safe', 'bar', 'share', 'civil', 'mission', 'under.', 'eat', 'country.', '—', 'shocking', 'claims', 'mind', 'control', 'surface', 'internet.']",FAKE
R174,New Report on Policy,"['type', 'book', 'participant', 'show.', 'letter', 'remember', 'rate', 'end', 'raise', 'himself.', 'bag', 'kitchen', 'radio', 'laugh', 'news.', 'experts', 'discuss', 'ongoing', 'developments', 'policy.']",REAL
R201,New Report on Public Health,"['choice', 'decision', 'outside', 'front.', 'number', 'adult', 'letter', 'indeed', 'agency', 'campaign', 'put.', 'design', 'arm', 'collection', 'floor.', 'experts', 'discuss', 'ongoing', 'developments', 'public', 'health.']",REAL
R072,New Report on Education,"['heart', 'test', 'decide', 'reach', 'what.', 'experts', 'discuss', 'ongoing', 'developments', 'education.']",REAL
R064,New Report on Research,"['memory', 'trouble', 'pass', 'fish', 'college', 'range', 'approach.', 'since', 'dog', 'address', 'tv.', 'join', 'knowledge.', 'experts', 'discuss', 'ongoing', 'developments', 'research.']",REAL
F037,Miracle Drug Confirmed by Sources,"['choose', 'old', 'pattern', 'shake.', 'defense', 'color', 'serious', 'interest', 'above.', 'wonder', 'remain', 'specific.', '—', 'shocking', 'claims', 'miracle', 'drug', 'surface', 'internet.']",FAKE
R170,New Report on Technology Breakthrough,"['institution', 'option', 'fine', 'wall.', 'run', 'moment', 'organization', 'church.', 'experts', 'discuss', 'ongoing', 'developments', 'technology', 'breakthrough.']",REAL
F110,Celebrity Scandal Confirmed by Sources,"['accept', 'positive', 'across', 'board', 'ask', 'talk', 'matter.', 'property', 'draw', 'treatment', 'road', 'idea', 'space', 'area.', 'idea', 'guess', 'chance', 'north.', '—', 'shocking', 'claims', 'celebrity', 'scandal', 'surface', 'internet.']",FAKE
F048,Secret Cure Confirmed by Sources,"['pull', 'condition', 'population.', 'top', 'future', 'cause', 'wide', 'either', 'trade', 'student', 'adult.', '—', 'shocking', 'claims', 'secret', 'cure', 'surface', 'internet.']",FAKE
F082,Hoax Confirmed by Sources,"['owner', 'sense', 'meeting', 'beyond', 'partner.', 'design', 'eat', 'room', 'matter.', 'exist', 'clear', 'peace', 'fly', 'note', 'personal.', '—', 'shocking', 'claims', 'hoax', 'surface', 'internet.']",FAKE
F187,Miracle Drug Confirmed by Sources,"['force', 'yard', 'none', 'like.', 'point', 'mr', 'stay', 'democratic', 'service.', 'somebody', 'however', 'sure.', '—', 'shocking', 'claims', 'miracle', 'drug', 'surface', 'internet.']",FAKE
F027,Miracle Drug Confirmed by Sources,"['general', 'cell', 'possible', 'crime.', 'practice', 'plant', 'western', 'plant.', 'lawyer', 'add', 'foot', 'report', 'material', 'camera', 'final', 'west.', 'rich', 'clear', 'free', 'send', 'region', 'off.', '—', 'shocking', 'claims', 'miracle', 'drug', 'surface', 'internet.']",FAKE
F202,Hoax Confirmed by Sources,"['notice', 'send', 'food', 'like', 'within', 'lead.', 'stock', 'cultural', 'husband', 'memory', 'add.', 'support', 'stand', 'relate', 'economy.', '—', 'shocking', 'claims', 'hoax', 'surface', 'internet.']",FAKE
